 ABBEY kulet 
 ACE alak 
 ACT bidok 
 AFTER nicol 
 AGE anam 
 AGELESS gatal 
 ALE mabdug 
 ANCIENT zustash 
 ANGEL sedil 
 ANGER ustos 
 ANIMAL emär 
 APE izeg 
 APPLE bemòng 
 ARCH gost 
 ARM öntak 
 ARMOR tosid 
 ARROW feb 
 ARTIFICE berim 
 ASH ibruk 
 AUNT ermis 
 AURA thoth 
 AUTUMN thatthil 
 AWE-INSPIRING gòstang 
 AXE libash 
 BACK lakish 
 BAD asdos 
 BALD roder 
 BAKE nel 
 BALL biban 
 BANE ugog 
 BAR ish 
 BARB robek 
 BATH olmul 
 BATTLE nokzam 
 BEAK emuth 
 BEAST fer 
 BEAR uvel 
 BEAR _VERB: dolush 
 BEE agêk 
 BEER ucat 
 BEETLE ngárak 
 BEGUILER enir 
 BELCH ugath 
 BERRY lisig 
 BIG etäg 
 BILE erong 
 BIN osed 
 BIRD lanlar 
 BLACK udir 
 BLADE tarmid 
 BLAZE sákrith 
 BLIND nural 
 BLISTER bugsud 
 BLOAT okag 
 BLOOD nazush 
 BLOODY nashon 
 BLOSSOM âtrid 
 BLUE enôr 
 BOAR dùstik 
 BOAT kogan 
 BODICE ingish 
 BOG dudgoth 
 BOIL stalkòb 
 BOIL _VERB: themor 
 BOLD murak 
 BOLT alåth 
 BONE osod 
 BOOK thîkut 
 BOOT cog 
 BOTHER selsten 
 BOW egdoth 
 BOW _VERB: othsin 
 BRAIN idek 
 BREACH ùst 
 BREECHES suthmam 
 BREAD ím 
 BREAK okab 
 BREAKFAST onlìl 
 BREATH gasol 
 BREED tegir 
 BREW namàsh 
 BRIDE noval 
 BRIDLE shalig 
 BRIGHT shin 
 BRISTLE lek 
 BRILLIANT äkim 
 BRIM kâkdal 
 BROIL stumäm 
 BROTHER alud 
 BRUNCH olom 
 BUCK ëlot 
 BUCKLE rozsed 
 BUNCH thos 
 BURDEN okon 
 BURN nïng 
 BURY ostar 
 BUSH rorul 
 BUSHEL kovath 
 BUST _NOUN: åblel 
 BUST _VERB: stal 
 BUSINESS girtol 
 BUSY kitïg 
 BUTCHER lokast 
 BUTTER reked 
 BUTTERFLY comníth 
 BUTTON sidos 
 BUZZARD setnek 
 CACKLE ethbesh 
 CAD nug 
 CAGE mokez 
 CAKE cös 
 CALL idos 
 CAMP ogîk 
 CANCER utheg 
 CANDLE tílgil 
 CANDY ebsas 
 CANKER lurak 
 CANYON tobul 
 CARNAGE ilush 
 CASKET dënush 
 CASTLE rimtar 
 CAT kun 
 CAVE äs 
 CELL kiror 
 CHAIN nicat 
 CHANT onshen 
 CHAOS rërith 
 CHAMBER mafol 
 CHAR sid 
 CHARM ìtdùn 
 CHILD tilat 
 CHILL îtat 
 CHIP _NOUN: egot 
 CHIP _VERB: dib 
 CHIRP oril 
 CHOKE bukog 
 CHOP atot 
 CHUCK imik 
 CINDER sudir 
 CLAM odshith 
 CLAP rag 
 CLASP dodók 
 CLAW sinsot 
 CLEAR es 
 CLEARING dostob 
 CLEAVE gast 
 CLING élmeth 
 CLOAK romlam 
 CLOBBER avéd 
 CLOCK darål 
 CLOD ân 
 CLOISTER oddom 
 CLOSET zägel 
 CLUB og 
 CLUSTER shatag 
 CLUTTER om 
 COBRA gisëk 
 COIL balad 
 COLD nekik 
 COLOR dakas 
 COMET dolek 
 CONQUEROR sog 
 COOK rafar 
 COVER laltur 
 COTTON îkeng 
 COUPLE dan 
 CRAB ozsit 
 CRAWL dunan 
 CRAZE uling 
 CRAZY dîbesh 
 CREAM berath 
 CREEK zangin 
 CREEP shadkik 
 CREEPY innok 
 CRESCENT vukcas 
 CROSS _NOUN: metul 
 CROSS _VERB: than 
 CROSS _ADJECTIVE: gesul 
 CROW ustir 
 CROWN torish 
 CRUCIFY memrut 
 CRUMBLE usal 
 CRUSH ôm 
 CRUSHER angrir 
 CRY cagith 
 CRYPT momuz 
 CRYSTAL zas 
 CUDDLE deshlir 
 CUDGEL astesh 
 CUP ôfid 
 CURSE mothram 
 CUT rít 
 CYST nolthag 
 DANCE matul 
 DANGLE irtir 
 DANK unul 
 DAGGER urist 
 DARK umom 
 DATE _FRUIT: dëm 
 DATE _VERB: lodel 
 DAWN kodor 
 DAY alod 
 DEAD nökor 
 DEAR asen 
 DEATH råsh 
 DECAY ursas 
 DECEIVER vakun 
 DEEP thol 
 DEER kizbiz 
 DEMON uthgúr 
 DESPAIR ônor 
 DESTROYER gar 
 DESTRUCTION terstum 
 DEVIL zagith 
 DEVOURER noshtath 
 DINE ub 
 DINNER ùk 
 DIRT amur 
 DITCH minran 
 DOG idar 
 DOMESTIC rodnul 
 DONKEY nuggad 
 DOOM okbod 
 DOOR tun 
 DRAGON måmgoz 
 DRAIN fak 
 DRAWL ogon 
 DREG rëmrit 
 DRESS _CLOTHING: stidest 
 DRESS _GENERAL: zag 
 DRINKER kosak 
 DRIP sub 
 DROOL shegum 
 DROWNED addor 
 DRUM talin 
 DRY zin 
 DUMP åmmeb 
 DUMPLING sakub 
 DUNG tig 
 DUNGEON edir 
 DUSK tath 
 DUST vesh 
 DUTY etest 
 DYE atír 
 EAGLE lorsïth 
 EAR rir 
 EAST em 
 EAT deb 
 ECTO shuthraz 
 EEL èshgor 
 EERIE rùkal 
 EGG acöb 
 ELDER okir 
 ENTRAILS arngish 
 ETERNAL zilir 
 EVER im 
 EVERLASTING ïssun 
 EVERSEEING ilus 
 EVIL gedor 
 EXECUTE ramtak 
 EXECUTIONER sombith 
 EYE ker 
 FACE lînem 
 FALL umid 
 FALSE seth 
 FAMINE sogdol 
 FANG shis 
 FAT er 
 FATAL odroz 
 FATHER urem 
 FEAR nist 
 FEAST ódad 
 FETID lithrush 
 FIEND zotir 
 FIERCE zikel 
 FILTH zikâth 
 FIN stagshil 
 FIND atöl 
 FINGER ók 
 FIRE ziril 
 FIRST uthar 
 FISH _ANIMAL tatlosh 
 FISH _VERB: ngitkar 
 FIST dur 
 FLAME keshan 
 FLANK ned 
 FLEA eststek 
 FLESH ar 
 FLING ëtul 
 FLOOD låluth 
 FLOWER totmon 
 FLUTE bem 
 FLY _ANIMAL fenglel 
 FLY _VERB: gigin 
 FOCUS atham 
 FOG amug 
 FOOL cabnul 
 FOOT nog 
 FOREST fotthor 
 FORK ìltang 
 FORTIFY dumed 
 FORTRESS geshud 
 FRAGILE inglaz 
 FRAGMENT ézneth 
 FRAME tiklom 
 FRAY ïsir 
 FREE eshim 
 FRENZY lumash 
 FREEZE gishdist 
 FRILL thîdas 
 FROG enog 
 FRUIT dozeb 
 FUNGUS muz 
 FUR âst 
 GALL dushig 
 GAME bakat 
 GARISH shistat 
